,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
param_distort_amount,0.1002573431900774,0.0023634183757347545,-0.04220178327132444,-0.0018150756050317161,0.012938614953503808,-0.1200165239819926,0.0015385812288704198,0.08072691544797725,0.09775672590292502,-0.1593018441055903,-0.07739925265264457,0.011289064714378017,-0.0037890851944542836,0.057967066531277006,0.06919802485167512,-0.0570642697946373,-0.14407491048651708,0.13052790777977147,0.1253156696480805,-0.1064666489684897
param_distort_drywet,0.12314777592379246,-0.0869014208207061,0.07406817946630131,0.043061577480938966,0.16736966698011416,-0.0031141903106302713,-0.021724588169337044,0.07088053783481388,0.07990406183916841,-0.08557841144292791,-0.06223432978117685,-0.09473103617291669,-0.0015622558839211709,-0.04560539197633487,0.009303383729427128,0.09426120533389987,-0.13872467306951908,0.10211290978204905,0.12938230460345596,0.011959688726913081
param_eq_bass_db,-0.03277085257456236,-0.03848051537294011,0.11121019502295493,-0.09926650446384992,0.09080195136318775,-0.12870127637372245,-0.03643375787921506,0.10609154676007469,-0.012512538217112911,0.14619423376848234,-0.03303312455651686,-0.06975246656302733,-0.1104589646798445,-0.061248899656427436,0.13745207246640112,0.10934267365963007,-0.0024455250577193697,-0.01594834239744565,0.3133798346961638,0.0822537615446582
param_eq_bass_freq_hz,0.027172236231182693,-0.046194409268832316,-0.015380328452586344,-0.1911747642859273,0.09594063637617582,-0.12484989056313084,-0.01325313714956011,0.04487770252079001,-0.052441281049115815,0.14197947463770003,-0.07053504682108663,0.010022995162601512,-0.016771092947331007,0.0270220744818363,-0.00023104597950551753,0.06685867320706604,-0.14038438244738,0.0485502722785722,0.10234798168032859,0.05797912513858766
param_eq_treble_db,0.06259159869687583,0.06979262206578607,0.12174572557035006,-0.1782522271076985,0.07660839850693925,-0.12824838389724386,-0.08418051578775862,0.12571773414908677,0.024436162497424613,0.015562503342186777,0.048903363459416815,-0.17044733926780464,-0.03489698851871853,0.050711935503638755,0.04521680173854346,0.01626262680215751,-0.10489648937222346,0.05410916913515948,0.20185090529725974,0.08008045165560043
param_eq_treble_freq_hz,-0.008226739184001708,0.006775923547289414,-0.057996567545354906,0.05966441546930365,-0.01779646084114219,-0.03151243064940013,0.07134192791100327,-0.06879216097294212,-0.030979836265882646,-0.13289287901027835,-0.017094462580537095,0.11014117169792516,-0.02999026540705413,-0.05693573786394046,0.057762722019156776,-0.043887546474820904,0.21195817372614728,-0.07946624502017005,0.0749768617392434,0.05809946288073045
param_filter_a_cutoff,0.043276780634708086,0.012061581522933143,-0.0507592690673461,0.08750667159424019,-0.054135769970425296,0.07006277446355373,0.09895327682525171,-0.11154395951769261,0.0026944890119470133,0.07024564888333258,-0.08367338555745002,-0.00959680514432354,-0.044772845845083176,-0.014813317206707088,-0.0959058224052872,-0.10214211970323751,0.030107773198316076,-0.09749539191365059,0.1467040505438422,-0.06998830035457008
param_filter_a_db_db,-0.038962384867412075,-0.07357627150755087,-0.042463251889810094,0.02962267556363035,-0.015527692580072947,-0.02928552554388866,0.0754586927575352,0.07901699377413472,0.14721001983282864,-0.04288547706097325,0.013280023769490112,-0.01183169536203519,0.014858306920231101,0.016125821262393036,-0.12104094139283322,-0.19281556667554636,0.05339256294764654,-0.06248283864475335,0.05681960545120865,0.018050107543494204
param_filter_a_drive,-0.08329390517818944,-0.009802788099784925,0.0584897645538083,0.008599379338270898,-0.026421917460061714,-0.05348417996654215,-0.008448520791302877,0.11583362194000989,0.20328311490300124,-0.05891759162278027,-0.07105379759426485,0.1054961418040545,0.06680969157522865,0.04280574202533727,0.03705153694394919,-0.1229191634662864,-0.17631777657318437,-0.1177162048801186,0.05044466576351325,0.0704641485276017
param_filter_a_reso,0.04053117996728401,0.012896917865301526,0.034036119311360524,0.08292918525966333,-0.0570026593995786,-0.1248095101940312,0.11478941548033993,0.08142580633361268,0.1581842489582707,-0.016603131392937908,0.018147910267103468,0.10042493903011393,0.11127743521879666,-0.0002017561665695075,0.08939813894165778,-0.04953438068862303,-0.007376414032912482,0.03964331249500628,0.18079761380013198,0.12348815604463988
