id,name,kind,midi_note,note_label,d_brightness,d_depth,d_hardness,d_roughness,d_warmth,d_sharpness,d_boominess,stored_a4_brightness,stored_a4_depth,stored_a4_hardness,stored_a4_roughness,stored_a4_warmth,stored_a4_sharpness,stored_a4_boominess
eedc7778,Preset,random,81,A5,12.394879473209947,67.49344084511561,16.812424896615227,41.61994239183878,67.44121115775499,17.09917488607918,52.32692885111615,11.09193890808902,68.00029897758931,28.675479772033157,47.861637569281164,65.61108693128197,16.00340294122846,55.60478240533729
eedc7778,Preset,random,93,A6,13.79284097155628,62.17313628231993,6.317312923730611,29.5940086260584,68.23973510493265,18.231230947951822,47.88116347225761,11.09193890808902,68.00029897758931,28.675479772033157,47.861637569281164,65.61108693128197,16.00340294122846,55.60478240533729
01a2ab28,Preset,random,45,A2,29.062251145158044,66.26422915106693,35.67311498537005,37.02430587603167,64.49949663136582,8.274928859165946,52.8626606740618,57.742786583767284,25.71889558452736,48.820742110628174,35.06932152025087,43.378496475256284,36.26865181403833,11.36668044940848
01a2ab28,Preset,random,57,A3,37.16488818873188,56.190664757700674,34.17356229675312,30.851242216436106,64.11317021664716,11.11163309185546,44.23974371900011,57.742786583767284,25.71889558452736,48.820742110628174,35.06932152025087,43.378496475256284,36.26865181403833,11.36668044940848
01a2ab28,Preset,random,69,A4,54.756889662534824,28.771699169547325,46.795988108775106,33.98208365420781,44.514484691155296,32.786748957301164,15.976996103231278,57.742786583767284,25.71889558452736,48.820742110628174,35.06932152025087,43.378496475256284,36.26865181403833,11.36668044940848
01a2ab28,Preset,random,81,A5,67.19307113393197,15.152303685285702,54.71106436877602,40.23066082932454,31.133103805523348,49.017987513906135,3.2325901909942694,57.742786583767284,25.71889558452736,48.820742110628174,35.06932152025087,43.378496475256284,36.26865181403833,11.36668044940848
01a2ab28,Preset,random,93,A6,76.17330586589388,8.242151339709253,53.28181174422096,39.27886048536105,16.992235888331596,65.30077175454994,-24.878286395049123,57.742786583767284,25.71889558452736,48.820742110628174,35.06932152025087,43.378496475256284,36.26865181403833,11.36668044940848
06eda2e4,Preset,random,45,A2,61.07919122993026,68.77915815312025,66.14015502329971,65.10303555919812,47.743715023242004,55.15689909983443,36.635221895066124,70.93323178775493,42.99335030872615,71.09832820154392,75.13748859141185,30.24937142952389,60.64315030500184,19.523301660959874
06eda2e4,Preset,random,57,A3,65.61037976208367,56.50589081660567,72.67693822224643,74.16006119128625,39.66333721775424,57.18589439940189,30.121200455699313,70.93323178775493,42.99335030872615,71.09832820154392,75.13748859141185,30.24937142952389,60.64315030500184,19.523301660959874
06eda2e4,Preset,random,69,A4,74.6490257503777,43.22581426171504,72.3848088012949,75.54775058345653,29.58407505565648,63.95437953492383,20.2389202063397,70.93323178775493,42.99335030872615,71.09832820154392,75.13748859141185,30.24937142952389,60.64315030500184,19.523301660959874
06eda2e4,Preset,random,81,A5,75.57887798705347,30.018454509907862,66.00961542368364,71.3895983696599,21.88686041464304,64.11263414958361,7.4116705724839065,70.93323178775493,42.99335030872615,71.09832820154392,75.13748859141185,30.24937142952389,60.64315030500184,19.523301660959874
06eda2e4,Preset,random,93,A6,81.76622746678743,17.236852765277916,65.98690762410129,60.94383033859859,15.908467177333737,75.08728540560753,-11.632300038294545,70.93323178775493,42.99335030872615,71.09832820154392,75.13748859141185,30.24937142952389,60.64315030500184,19.523301660959874
949a5bf9,Preset,random,45,A2,40.81200817137906,59.089222480355375,36.99787977501511,48.63505438096052,65.88492477729638,30.692691101552143,46.88243138302957,57.24032163442438,36.24190263597189,52.963809428637376,59.824962664377125,52.21148627882816,46.2199258080041,26.87653355819877
949a5bf9,Preset,random,57,A3,49.484209841367395,43.36332172588051,47.44291625341742,55.83038478393611,61.22292353601425,38.69933790249881,32.68236535209883,57.24032163442438,36.24190263597189,52.963809428637376,59.824962664377125,52.21148627882816,46.2199258080041,26.87653355819877
949a5bf9,Preset,random,69,A4,57.610758858561724,49.109892731593575,54.06470370566933,62.986544168251335,52.5151019968362,46.62749115693691,26.008011432082405,57.24032163442438,36.24190263597189,52.963809428637376,59.824962664377125,52.21148627882816,46.2199258080041,26.87653355819877
