id,name,kind,ac_brightness,ac_depth,ac_hardness,ac_roughness,ac_warmth,ac_sharpness,ac_boominess,feat_spectral_centroid,feat_spectral_rolloff_85,feat_spectral_bandwidth,feat_spectral_flatness,feat_low_band_ratio,feat_mid_band_ratio,feat_high_band_ratio,feat_zero_crossing_rate,feat_rms
ceeebe88,Preset,random,61.10658860451021,44.576504746373445,48.61035596206446,57.195189056561205,45.33355719373415,39.15483140195205,26.667146655468887,598.3757571790928,750.4445043103449,362.37035055528344,7.07440932501413e-08,0.004635850003070593,0.9904057456385308,0.00043510402112288156,0.026928430316091954,0.07571843266487122
3060319c,Preset,random,10.211624500210156,67.55941158928017,15.85295782853595,34.0293540354676,64.4693101326735,13.928295771147422,57.98815897859306,110.8591245297709,130.18925107758622,40.97220068307403,3.109973079062911e-08,0.9999237600199432,7.613999512623582e-05,6.340354983333705e-08,0.004894037356321839,0.08561933785676956
580fc6e9,Preset,random,42.895573222567606,76.31683422191898,51.115803496635436,21.426173388842773,68.54527391926729,48.13638898279093,38.05414383030269,11.386565533073707,42.5713900862069,30.981146282574347,1.343082201010759e-09,0.9997666331665306,0.00020682409305974127,1.3079114029476162e-05,8.979885057471264e-05,0.7030383944511414
d2741849,Preset,random,44.05901200488164,61.32521566300606,36.659089532188304,52.73823642330638,64.04347915642344,34.527185734046874,44.24650175010569,203.60707959570743,227.7074353448276,248.40309952849557,1.0414275664061279e-07,0.9030286390931315,0.09453243667103804,0.00039230978524350295,0.011022808908045977,0.07745955884456635
f1b29c0a,Preset,random,71.82026259724736,21.69874990476511,76.36029396700127,53.33021059027393,23.366840676742044,58.40504183952052,13.413042735478394,2222.0667155946685,3530.950296336207,1460.7369080183134,6.375544762704521e-05,0.0015210877470787552,0.22685270475087627,0.2675227167312021,0.10725350215517242,0.04543900862336159
61d76e38,Preset,random,33.61784449521669,52.62708301508717,30.378136623861664,39.388587196775774,66.52110719056074,21.22300674434875,39.225375130358984,253.36202556124934,345.0262661637931,95.74343791488899,3.216205755052215e-07,0.4827023405667691,0.5172970538364997,1.7123445536808523e-08,0.010180944683908046,0.07545642554759979
74a3f08c,Preset,random,40.066007144678835,67.28788942792806,61.96163343094432,0.0,68.629668915955,49.982228940512165,35.838809130477756,11.31118707182302,43.5614224137931,32.19625255410886,1.5465062563890797e-09,0.9995509316419253,0.00039781014545218037,2.515491160311498e-05,8.979885057471264e-05,0.9757484793663025
5389fee1,Preset,random,-1.9816550317099484,70.17081044426611,9.762831061108287,28.62873154068516,58.22911576075471,-21.05393034710133,69.63109140625647,16.38586776636489,43.06640625,26.47803622365433,5.729048346836407e-10,0.9999852406501377,1.43355698155358e-05,2.0736227086752628e-07,0.0005387931034482759,0.5920025706291199
2c9f6966,Preset,random,24.565908727813166,56.57776283401947,14.69307892070502,46.24333525020091,56.979305402485565,22.07660111359909,43.570131941846654,275.7776079093229,301.9598599137931,66.19520912727299,4.9113836553260626e-08,0.06383875781293992,0.9359624992787521,0.0001644138592145332,0.012684087643678161,0.08145784586668015
782d28af,Preset,random,70.44663680379678,47.18065991153232,45.208546146849386,50.761134956622854,31.25182616061819,56.07425277121651,17.11202076249349,1521.757833829185,3530.950296336207,1532.5215711856322,4.418716770260289e-08,0.0834877893380519,0.5335752756742628,0.0005184692585716748,0.10486260775862069,0.060303036123514175
3c0e1b82,Preset,random,75.91904309206375,20.356435510788288,63.0842315003689,56.27520194541479,18.036346170680453,65.25316385482438,-7.156035955952859,1725.3771940646225,3326.5086206896553,1361.7190138078633,1.0045264531299836e-07,1.2838622126440704e-05,0.7163435733383167,0.01089000440969797,0.09434491738505747,0.06165255606174469
c4a97b19,Preset,random,19.901070848397985,67.49085366509279,10.653219050720338,0.0,61.14568706833181,43.54537098098956,45.6196994349209,55.89940773793236,97.51818426724138,59.022366274295784,5.778008627110864e-10,0.999354159171004,0.0005952394952307814,2.4724243998672587e-05,0.0029970366379310346,0.15254497528076172
92658250,Preset,random,32.22642841889737,77.01274155260394,38.02959057693701,38.14221374949405,48.54057715928382,52.66588861061826,49.42579487152916,46.15078099604841,76.72750538793103,52.70013088052008,4.65762672874348e-09,0.9999687147225909,2.463950942067732e-05,5.050263873034649e-06,0.0025368175287356323,0.1620870679616928
c6c8eeb1,Preset,random,53.0396841032147,37.72022789722473,46.62415807430358,49.882547223460406,38.443455967666104,44.768611794325444,26.94376678690063,446.8878576269765,485.1158405172414,482.91636306584826,5.672714564752823e-08,0.0721541195574453,0.9245234868964524,0.0016703278189377758,0.020743534482758622,0.070136159658432
5176e5cd,Preset,random,33.99975784872115,55.347994563070074,24.754825671211577,0.0,64.97174768547114,30.260007571461298,38.209964026818525,252.16050520294237,261.3685344827586,139.77256811084823,7.417177982915746e-08,0.746706313055311,0.2532786426545468,7.2225754912756985e-06,0.01038299209770115,0.07471004873514175
53baf7a6,Preset,random,73.06465314008335,21.049142450451427,58.967439735233086,61.904976493888626,25.06732861945336,62.95575115498922,-5.112601654828595,2490.231167562127,3321.063442887931,1597.703259707606,1.6137410057126544e-06,0.00048948868009923,0.2537794173287622,0.09478623303732586,0.12205908764367816,0.05317418649792671
15346bf2,Preset,random,33.236069128731735,53.93187112446611,30.16163833478275,24.03835232706281,60.083609161971026,19.9785491750464,44.07763877111899,124.25332981318691,210.87688577586206,97.968047341431,4.037414402802142e-09,0.8921873028239007,0.10766381292557446,0.0001303035652008359,0.00854211566091954,0.10628902167081833
7585a8c0,Preset,random,51.16035178957699,15.876621346155204,38.69845931559462,23.07540720709758,39.06151968460131,40.5187614419657,20.676805397442116,866.5071237074117,903.8995150862069,95.63138603074965,4.484879578825485e-09,0.006092781418141231,0.9938339292480879,1.9773321660852273e-05,0.03898392600574713,0.07319675385951996
10853a4b,Preset,random,57.44239645221991,30.089356998604103,54.329558577919556,28.69411288141365,29.283619788771027,46.920140518028305,7.409837800634833,705.309626648749,985.577182112069,695.2611207204295,4.031125211412245e-09,0.000127774900422809,0.9931275356587062,0.002729749491559851,0.032125538793103446,0.06995374709367752
5771c4d5,Preset,random,29.69042539615945,77.26874731322619,40.39519086516684,34.72192998358349,71.82930119411364,20.991505152056916,50.44929321410512,99.00944453491302,181.17591594827587,86.89624874539496,4.561592881202614e-09,0.988701875259536,0.011292238868176933,2.8838334416810317e-06,0.005994073275862069,0.2018827199935913
063748a9,Preset,random,39.74262373734332,73.22852551025248,42.09703938857139,39.13658087160666,59.157160354783784,35.60091557119155,46.32475288762433,416.24433137526756,507.8865840517241,113.87096113428908,1.376314284762259e-09,0.009170991882167107,0.9907588342021773,7.23985362478852e-07,0.018352640086206896,0.07512807846069336
d0b6a53e,Preset,random,51.9093493847773,48.601776855065545,34.558807769014265,32.8226338544993,48.95967286311647,34.669743152634034,36.36062689496798,666.6638244953274,967.7566002155172,441.24052417685976,1.4462527841985207e-09,0.6511262180415375,0.34535869970746175,0.00043032011333271695,0.03277658045977012,0.08166104555130005
23badbb7,Preset,random,73.49617585834184,28.476538611865905,77.6500958179306,72.62850191658829,24.975501747319715,64.22139157429847,18.365098827279997,1221.5308725079356,1839.9750808189656,2233.8795495240615,5.356573183235014e-06,0.431608878897127,0.45061722595216835,0.0631573487353856,0.08721713362068965,0.06574366241693497
a8ce4de1,Preset,random,54.77332914621687,31.39048278718093,47.69865135077592,44.34700994560091,48.673468708201696,34.08922464391076,10.828093078234218,710.5555659875755,1035.5738146551723,384.67466588625217,1.2671040605649608e-10,0.008956844650563876,0.9908108130161511,1.046018254126349e-05,0.03794001436781609,0.07059715688228607
9d7c1408,Preset,random,28.141669704040908,73.25474982601975,41.244886195688025,0.0,64.6621719783766,39.325399869810234,50.30467411799755,14.368845454470058,44.056438577586206,29.416802363525395,9.353154917235429e-10,0.9999295963781462,6.582011907213373e-05,2.2080910213159005e-06,0.0003479705459770115,0.31075069308280945
53e09d96,Preset,random,32.828889083860616,67.75882823279105,33.29518993441606,49.587609983587114,65.51462556700264,29.781476377401177,43.38262691719257,116.63958261562087,225.72737068965517,129.26581149818568,4.4830548995289377e-11,0.8909661622126568,0.10903249673327002,5.983872582103914e-07,0.007554328304597701,0.10131331533193588
5e5ff165,Preset,random,50.9095745794035,44.05891966160975,40.049663303008785,46.60848448630516,56.96857490391271,33.20282751501207,33.36677333394928,322.74013910515504,394.03286637931035,171.86932080721255,3.196592786025576e-07,0.1578081146243798,0.840957073157244,2.7876295723345394e-05,0.015254579741379311,0.07284344732761383
f3ae50b0,Preset,random,57.51678964226528,66.33927014328455,68.17806867940118,0.0,67.60663162246975,50.00526764446734,36.48311543925479,16.323039512335274,47.026535560344826,62.66941170647715,2.1381033832312824e-08,0.9973869746194278,0.0023170539750281484,0.00014526322465591425,7.857399425287356e-05,0.999969482421875
b6360dc9,Preset,random,43.295514822471645,68.05334236032455,65.15881174752064,0.0,61.59106948725592,50.01506475455982,35.96445516188066,10.688672110483054,43.5614224137931,31.378328668846834,1.5464854952185192e-09,0.9995652892429792,0.0003841622476803405,2.492272229482597e-05,4.489942528735632e-05,0.976851224899292
d5c329ce,Preset,random,72.79728865419564,36.16714250138405,81.46484707116204,74.44304179190532,23.169780298345483,62.23026475991246,16.645186023689668,476.7568200367644,631.1456088362069,231.9695525399922,1.368176185678749e-07,0.16242915603093472,0.8372008390510982,6.56318307441544e-06,0.020227191091954023,0.08602792769670486
10b14dbd,Preset,random,37.4009701062928,75.92502333511297,63.66013319724752,33.47421560693458,67.37229169782236,48.15209286947416,36.75514773262488,18.360940521765443,54.946794181034484,46.39282277361632,2.97542568361564e-09,0.9971955420689351,0.002661141765517946,7.065321580261e-05,0.0005836925287356322,0.5868052244186401
16e80e31,Preset,random,59.45279707341719,46.76637876177567,42.23268843279983,49.401696526174284,52.57537732444996,41.42394499481617,29.480800298655872,574.7683994678448,1011.8130387931035,634.5032609288954,7.71006114064221e-07,0.5043358577332863,0.40227983040416754,0.0003126831991049603,0.03596443965517242,0.0664147436618805
740214b7,Preset,random,75.56360524479611,45.26082401507409,68.67144705648786,69.39026829938997,26.39440901553327,67.25128233239039,18.770364459688313,2454.4151748841823,6215.91796875,3327.041570603547,1.2652531040657777e-05,0.04698262118792789,0.7789042793291144,0.1286700795187523,0.12593166307471265,0.07972374558448792
8e597e41,Preset,random,55.68967732860527,35.34797413052088,49.18468782005684,59.42141465886394,49.760897716530216,42.8048235011746,26.061636452540142,305.19825028827273,426.2089170258621,271.34453925783924,1.4600711750745177e-08,0.40478001189008245,0.5926078840906738,0.00039109094376480917,0.015422952586206896,0.07521378993988037
26b1d48e,Preset,random,17.099276203849186,65.71192240094112,16.530803226308365,35.311231021718775,64.42064633707025,17.59248849609438,53.07225670685905,153.4713946849338,233.64762931034483,95.65729715075769,6.42504771608543e-10,0.5922067707336972,0.4077922294336081,4.5892687724620944e-07,0.006791038074712643,0.08294849842786789
